Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Adcy3,NC_000078.7,+,27,0.615401495701233,0.999995354919091
gene-Mpped2,NC_000068.8,+,11,0.615480212648828,0.999995354919091
gene-Itga4,NC_000068.8,+,4,0.615516420996986,0.999995354919091
gene-Myl9,NC_000068.8,+,4,0.61560342986144,0.999995354919091
gene-Morc4,NC_000086.8,-,7,0.615614528073965,0.999995354919091
gene-Cpa2,NC_000072.7,+,2,0.615838170299869,0.999995354919091
gene-Fgfrl1,NC_000071.7,+,7,0.615988407382367,0.999995354919091
gene-Gm39443,NC_000077.7,+,2,0.616354858785155,0.999995354919091
gene-Zfp560,NC_000075.7,-,9,0.616395551561459,0.999995354919091
gene-Snhg3,NC_000070.7,-,3,0.616402878027139,0.999995354919091
gene-Prkar1b,NC_000071.7,-,12,0.61662780850738,0.999995354919091
gene-Ctdsp1,NC_000067.7,+,7,0.616686292629434,0.999995354919091
gene-Asap1,NC_000081.7,-,33,0.616708924238046,0.999995354919091
gene-Scnm1,NC_000069.7,-,7,0.616834732340395,0.999995354919091
gene-Fbxo48,NC_000077.7,+,3,0.616884386403129,0.999995354919091
gene-Kiz,NC_000068.8,+,14,0.617123620968442,0.999995354919091
gene-Kif27,NC_000079.7,-,12,0.617135497131716,0.999995354919091
gene-Galnt7,NC_000074.7,-,12,0.617225150409935,0.999995354919091
gene-Erg28,NC_000078.7,-,9,0.617285308834651,0.999995354919091
gene-Rrm2,NC_000078.7,+,10,0.617823158041723,0.999995354919091
gene-Shld2,NC_000080.7,-,6,0.617879470040421,0.999995354919091
gene-Kntc1,NC_000071.7,+,53,0.617985453365544,0.999995354919091
gene-Ranbp17,NC_000077.7,-,29,0.618138670085726,0.999995354919091
gene-Rps19,NC_000073.7,+,12,0.618344487914278,0.999995354919091
gene-Arl5b,NC_000068.8,+,6,0.618522459963896,0.999995354919091
gene-Hpcal4,NC_000070.7,+,5,0.618868515462677,0.999995354919091
gene-Cdc42bpg,NC_000085.7,+,38,0.61900147551264,0.999995354919091
gene-Eif4ebp1,NC_000074.7,+,3,0.619141370246023,0.999995354919091
gene-Fcf1,NC_000078.7,+,8,0.619371136864522,0.999995354919091
gene-Ccn3,NC_000081.7,+,5,0.619510538500947,0.999995354919091
gene-Lactb2,NC_000067.7,-,7,0.619639939708738,0.999995354919091
gene-Gm3739,NC_000080.7,+,6,0.619819917396276,0.999995354919091
gene-Lgalsl,NC_000077.7,-,5,0.619829956528007,0.999995354919091
gene-2310069G16Rik,NC_000081.7,+,3,0.619846635978761,0.999995354919091
gene-Lrrc8a,NC_000068.8,+,4,0.62006903249385,0.999995354919091
gene-Gm34232,NC_000070.7,-,2,0.620070014208858,0.999995354919091
gene-Gm5468,NC_000081.7,+,6,0.620218364654116,0.999995354919091
gene-Slc22a8,NC_000085.7,+,13,0.620252923948112,0.999995354919091
gene-Peli1,NC_000077.7,+,8,0.620284046498677,0.999995354919091
gene-Fundc2,NC_000086.8,+,5,0.620312827697357,0.999995354919091
gene-Itgb1bp2,NC_000086.8,+,5,0.620557172499802,0.999995354919091
gene-Pnoc,NC_000080.7,-,5,0.620560359396055,0.999995354919091
gene-Clp1,NC_000068.8,-,3,0.62067080336292,0.999995354919091
gene-Clk1,NC_000067.7,-,15,0.620703369847536,0.999995354919091
gene-Ccnyl1,NC_000067.7,+,12,0.620729937239192,0.999995354919091
gene-Dtl,NC_000067.7,-,14,0.620807430945427,0.999995354919091
gene-Lamp1,NC_000074.7,+,9,0.620923371568269,0.999995354919091
gene-Gm11753,NC_000077.7,-,2,0.620988329338663,0.999995354919091
gene-Gm16702,NC_000083.7,-,3,0.621057978095487,0.999995354919091
gene-Ccnj,NC_000085.7,+,8,0.621085814771774,0.999995354919091
gene-Ccdc116,NC_000082.7,-,11,0.621116448804007,0.999995354919091
gene-Anks3,NC_000082.7,-,22,0.621143135871869,0.999995354919091
gene-Zfp976,NC_000073.7,-,3,0.621171486682201,0.999995354919091
gene-4922502B01Rik,NC_000074.7,-,5,0.621227261036998,0.999995354919091
gene-Tshz2,NC_000068.8,+,6,0.621353398690044,0.999995354919091
gene-Kptn,NC_000073.7,+,12,0.621356624596703,0.999995354919091
gene-Zfand2b,NC_000067.7,+,12,0.62151194603272,0.999995354919091
gene-Gm38396,NC_000083.7,+,4,0.621623231936793,0.999995354919091
gene-Enox1,NC_000080.7,+,24,0.621904814061073,0.999995354919091
gene-Ikzf2,NC_000067.7,-,6,0.621984173793489,0.999995354919091
gene-Gm51541,NC_000074.7,-,2,0.622156606123869,0.999995354919091
gene-Fam53a,NC_000071.7,-,11,0.622454064533013,0.999995354919091
gene-Tmem35a,NC_000086.8,+,2,0.622490809986532,0.999995354919091
gene-Fhit,NC_000080.7,+,2,0.622732146362801,0.999995354919091
gene-Tmem185a,NC_000086.8,-,8,0.622796893938189,0.999995354919091
gene-Slfn5,NC_000077.7,+,2,0.622877871668163,0.999995354919091
gene-Ube2e3,NC_000068.8,+,13,0.622899506639707,0.999995354919091
gene-Nudt11,NC_000086.8,+,3,0.62317264323956,0.999995354919091
gene-Pcdh15,NC_000076.7,+,10,0.623189310549879,0.999995354919091
gene-Per2,NC_000067.7,-,25,0.62331416726643,0.999995354919091
gene-Zfp869,NC_000074.7,-,8,0.623408475393026,0.999995354919091
gene-Dbt,NC_000069.7,+,13,0.623517744105672,0.999995354919091
gene-5730405O15Rik,NC_000086.8,+,2,0.62383540396043,0.999995354919091
gene-Zc3h6,NC_000068.8,+,13,0.624179293772184,0.999995354919091
gene-Rarg,NC_000081.7,-,8,0.624507468974613,0.999995354919091
gene-Tnfaip6,NC_000068.8,+,2,0.624611354340189,0.999995354919091
gene-Gm9828,NC_000079.7,+,3,0.624667905323383,0.999995354919091
gene-Slc19a2,NC_000067.7,+,7,0.624681189261995,0.999995354919091
gene-Ppm1m,NC_000075.7,-,10,0.624729820131969,0.999995354919091
gene-Gm53208,NC_000074.7,-,2,0.624859642571197,0.999995354919091
gene-Leo1,NC_000075.7,+,14,0.624862149537465,0.999995354919091
gene-Naa15,NC_000069.7,+,20,0.625013559791453,0.999995354919091
gene-Irs4,NC_000086.8,-,2,0.625367896806237,0.999995354919091
gene-Cnst,NC_000067.7,+,12,0.625441051619568,0.999995354919091
gene-Rasgrp2,NC_000085.7,+,33,0.625812261254024,0.999995354919091
gene-Gm3325,NC_000079.7,+,3,0.625887920938848,0.999995354919091
gene-Chchd10,NC_000076.7,+,5,0.626468089455779,0.999995354919091
gene-Zbtb8a,NC_000070.7,-,5,0.626480089599199,0.999995354919091
gene-Exoc3l,NC_000074.7,-,7,0.626486990707942,0.999995354919091
gene-Maf1,NC_000081.7,+,10,0.626574693517606,0.999995354919091
gene-Ltbr,NC_000072.7,-,10,0.626620008365884,0.999995354919091
gene-Zfp593,NC_000070.7,-,3,0.626990058215033,0.999995354919091
gene-Baiap3,NC_000083.7,-,33,0.627047733790976,0.999995354919091
gene-Tssc4,NC_000073.7,+,10,0.627164851873976,0.999995354919091
gene-Acbd6,NC_000067.7,+,10,0.627203920216034,0.999995354919091
gene-Ptpa,NC_000068.8,+,13,0.627327817627991,0.999995354919091
gene-Pld4,NC_000078.7,+,2,0.627536218078488,0.999995354919091
gene-Six3,NC_000083.7,+,4,0.627539844580602,0.999995354919091
gene-Nubp1,NC_000082.7,+,14,0.627580988556192,0.999995354919091
gene-Stxbp4,NC_000077.7,-,21,0.627643112402805,0.999995354919091
gene-B9d1os,NC_000077.7,-,2,0.627714445164923,0.999995354919091
gene-Tbc1d7,NC_000079.7,-,10,0.627856911660268,0.999995354919091
gene-Eeig2,NC_000069.7,-,11,0.627950348467602,0.999995354919091
gene-Pnck,NC_000086.8,-,20,0.628201038285453,0.999995354919091
gene-Get3,NC_000074.7,-,9,0.628289880075444,0.999995354919091
gene-Cmc1,NC_000075.7,-,7,0.628346107873585,0.999995354919091
gene-Fibp,NC_000085.7,+,11,0.628746062128584,0.999995354919091
gene-Tmem179,NC_000078.7,-,4,0.628829554648793,0.999995354919091
gene-Kif4,NC_000086.8,+,30,0.628897197849007,0.999995354919091
gene-Gm14326,NC_000068.8,-,8,0.628900600289255,0.999995354919091
gene-Rfx5,NC_000069.7,+,16,0.629411385509383,0.999995354919091
gene-A730056A06Rik,NC_000073.7,-,2,0.629454566101652,0.999995354919091
gene-Anxa7,NC_000080.7,-,14,0.629467069654775,0.999995354919091
gene-BC024139,NC_000081.7,-,16,0.629650459748562,0.999995354919091
gene-Dio2,NC_000078.7,-,2,0.629859060402888,0.999995354919091
gene-Harbi1,NC_000068.8,+,6,0.629920739836981,0.999995354919091
gene-Dipk1a,NC_000071.7,-,5,0.62993253677388,0.999995354919091
gene-Knstrn,NC_000068.8,+,13,0.629978687392238,0.999995354919091
gene-Rpusd1,NC_000083.7,+,9,0.63001570934444,0.999995354919091
gene-Ogfrl1,NC_000067.7,-,8,0.63010035371193,0.999995354919091
gene-Rita1,NC_000071.7,-,4,0.63048121190076,0.999995354919091
gene-Ngdn,NC_000080.7,+,11,0.630502964429447,0.999995354919091
gene-Clec3b,NC_000075.7,+,2,0.630527140527809,0.999995354919091
gene-Cpsf1,NC_000081.7,-,40,0.630718240487359,0.999995354919091
gene-Fancb,NC_000086.8,+,8,0.630763814136791,0.999995354919091
gene-Mkln1os,NC_000072.7,-,2,0.630906131989034,0.999995354919091
gene-Auh,NC_000079.7,-,17,0.630909555162576,0.999995354919091
gene-Ube2f,NC_000067.7,+,15,0.631010940466061,0.999995354919091
gene-Acsl5,NC_000085.7,+,22,0.631250508796014,0.999995354919091
gene-Akt2,NC_000073.7,+,17,0.631348885422296,0.999995354919091
gene-Gm14325,NC_000068.8,-,4,0.631355870914389,0.999995354919091
gene-Zfp707,NC_000081.7,+,5,0.631427719538627,0.999995354919091
gene-Lix1l,NC_000069.7,+,6,0.631734198110703,0.999995354919091
gene-Zfp160,NC_000083.7,+,4,0.631969156349598,0.999995354919091
gene-Tmem43,NC_000072.7,+,12,0.632089749359702,0.999995354919091
gene-Pon2,NC_000072.7,-,9,0.63214142172829,0.999995354919091
gene-Melk,NC_000070.7,+,18,0.63214439130156,0.999995354919091
gene-Phf2os1,NC_000079.7,+,2,0.632171597808638,0.999995354919091
gene-Phtf1,NC_000069.7,+,27,0.632666907627497,0.999995354919091
gene-Idh3b,NC_000068.8,-,13,0.632689633239088,0.999995354919091
gene-Itpka,NC_000068.8,+,4,0.632816567284932,0.999995354919091
gene-Tcfl5,NC_000068.8,-,2,0.632857249445093,0.999995354919091
gene-Bub1b,NC_000068.8,+,23,0.632875079660088,0.999995354919091
gene-Shisa9,NC_000082.7,+,5,0.633501349186738,0.999995354919091
gene-Fancl,NC_000077.7,+,15,0.633661174913879,0.999995354919091
gene-Kif17,NC_000070.7,+,4,0.633685646560571,0.999995354919091
gene-Kdm6a,NC_000086.8,+,32,0.633776775880785,0.999995354919091
gene-Ap5z1,NC_000071.7,+,20,0.633976018846481,0.999995354919091
gene-Nvl,NC_000067.7,-,28,0.63403202092642,0.999995354919091
gene-Lamp2,NC_000086.8,-,12,0.634200888901821,0.999995354919091
gene-Scml4,NC_000076.7,+,11,0.634230731235945,0.999995354919091
gene-Kif7,NC_000073.7,-,21,0.634255972642528,0.999995354919091
gene-Tpm2,NC_000070.7,-,5,0.634297908171187,0.999995354919091
gene-Mtus1,NC_000074.7,-,13,0.634526518220117,0.999995354919091
gene-Bicdl1,NC_000071.7,-,14,0.634595904539628,0.999995354919091
gene-Frg2f1,NC_000070.7,-,4,0.634665174235473,0.999995354919091
gene-Gpr176,NC_000068.8,-,5,0.634989575017265,0.999995354919091
gene-Tnfrsf1b,NC_000070.7,-,2,0.634999618151825,0.999995354919091
gene-Mbd6,NC_000076.7,-,20,0.635224679314777,0.999995354919091
gene-1700007J10Rik,NC_000077.7,-,2,0.635261127136087,0.999995354919091
gene-Rnf121,NC_000073.7,-,11,0.635394050361089,0.999995354919091
gene-Cdh10,NC_000081.7,+,16,0.635423018713453,0.999995354919091
gene-Kcnj6,NC_000082.7,-,8,0.635597385816104,0.999995354919091
gene-Smim10l1,NC_000072.7,+,4,0.63571589292011,0.999995354919091
gene-Tirap,NC_000075.7,-,2,0.636041060154716,0.999995354919091
gene-Gm33937,NC_000077.7,+,3,0.636045401115461,0.999995354919091
gene-Gm15860,NC_000071.7,-,2,0.636076457427331,0.999995354919091
gene-Fkbp9,NC_000072.7,+,10,0.636604780164156,0.999995354919091
gene-Grtp1,NC_000074.7,-,11,0.637094293178464,0.999995354919091
gene-Sun2,NC_000081.7,-,20,0.637728469856777,0.999995354919091
gene-Cfap251,NC_000071.7,+,10,0.637782776208774,0.999995354919091
gene-Ccnh,NC_000079.7,+,12,0.637814305873212,0.999995354919091
gene-Pole3,NC_000070.7,-,4,0.63791517748183,0.999995354919091
gene-Inava,NC_000067.7,-,13,0.637995005556365,0.999995354919091
gene-Cenpk,NC_000079.7,+,9,0.638315787362356,0.999995354919091
gene-Acot1,NC_000078.7,+,3,0.638337755956468,0.999995354919091
gene-Atl3,NC_000085.7,+,14,0.63835599334821,0.999995354919091
gene-Ankrd29,NC_000084.7,-,7,0.638455605716304,0.999995354919091
gene-Phlda3,NC_000067.7,+,2,0.638525926913055,0.999995354919091
gene-Mrps31,NC_000074.7,+,7,0.638600936427968,0.999995354919091
gene-Vwc2,NC_000077.7,+,5,0.638790434184235,0.999995354919091
gene-Carf,NC_000067.7,+,16,0.638829466450242,0.999995354919091
gene-B230209E15Rik,NC_000073.7,-,5,0.638969903821383,0.999995354919091
gene-Tst,NC_000081.7,-,2,0.639124559724954,0.999995354919091
gene-Sp2,NC_000077.7,-,7,0.639167978106179,0.999995354919091
gene-Uqcc5,NC_000080.7,-,2,0.639298891667293,0.999995354919091
gene-Zdhhc13,NC_000073.7,+,19,0.639319575216138,0.999995354919091
gene-Wee1,NC_000073.7,+,11,0.639388587906464,0.999995354919091
gene-Anapc7,NC_000071.7,+,13,0.639974520784727,0.999995354919091
gene-Afap1l2,NC_000085.7,-,19,0.64003106208587,0.999995354919091
gene-Slc39a9,NC_000078.7,+,12,0.64015936468463,0.999995354919091
gene-Mir3064,NC_000077.7,-,5,0.640170576267567,0.999995354919091
gene-Tlk2,NC_000077.7,+,24,0.640282735267076,0.999995354919091
gene-Tcf7,NC_000077.7,-,5,0.640307683834539,0.999995354919091
gene-Zfp939,NC_000073.7,+,16,0.640561496729835,0.999995354919091
gene-Prr14,NC_000073.7,+,15,0.640853509195055,0.999995354919091
gene-Atad2,NC_000081.7,-,29,0.641243172740776,0.999995354919091
gene-1700123M08Rik,NC_000070.7,+,2,0.641307991361959,0.999995354919091
gene-Cand2,NC_000072.7,+,17,0.641573852763852,0.999995354919091
gene-Tmbim4,NC_000076.7,+,7,0.642041556258252,0.999995354919091
gene-Anxa3,NC_000071.7,+,13,0.642186143594204,0.999995354919091
gene-Pdss1,NC_000068.8,+,15,0.642200701788533,0.999995354919091
gene-Htd2,NC_000080.7,-,6,0.642273209798004,0.999995354919091
gene-Zkscan7,NC_000075.7,+,7,0.642351153232592,0.999995354919091
gene-D230017M19Rik,NC_000067.7,+,3,0.64252062751423,0.999995354919091
gene-C1ql1,NC_000077.7,-,2,0.642532138195506,0.999995354919091
gene-Mrpl34,NC_000074.7,+,2,0.642551114922111,0.999995354919091
gene-Mcm8,NC_000068.8,+,20,0.642558666604773,0.999995354919091
gene-Dmrt2,NC_000085.7,+,2,0.642660834320375,0.999995354919091
gene-Mir7027,NC_000071.7,+,2,0.64284684149984,0.999995354919091
gene-Oplah,NC_000081.7,-,28,0.642968077693236,0.999995354919091
gene-Ppm1d,NC_000077.7,+,6,0.643246920446984,0.999995354919091
gene-Marcksl1,NC_000070.7,+,2,0.643441316150759,0.999995354919091
gene-Cables1,NC_000084.7,+,9,0.643622176782013,0.999995354919091
gene-Fmo1,NC_000067.7,-,8,0.643708733785437,0.999995354919091
gene-Brd3os,NC_000068.8,+,4,0.643808639578865,0.999995354919091
gene-Max,NC_000078.7,-,8,0.644094346785607,0.999995354919091
gene-Dlst,NC_000078.7,+,16,0.644119021133324,0.999995354919091
gene-Pcsk5,NC_000085.7,-,23,0.644237828713346,0.999995354919091
gene-Echs1,NC_000073.7,-,8,0.644261721920122,0.999995354919091
gene-Cers2,NC_000069.7,+,12,0.644877948712268,0.999995354919091
gene-Cep85l,NC_000076.7,-,14,0.644896766238175,0.999995354919091
gene-St6galnac5,NC_000069.7,-,5,0.64503974481423,0.999995354919091
gene-AW822252,NC_000086.8,-,3,0.645047742837759,0.999995354919091
gene-Per1,NC_000077.7,+,23,0.645101685554052,0.999995354919091
gene-Eif2s1,NC_000078.7,+,8,0.645130559421664,0.999995354919091
gene-Cdyl2,NC_000074.7,-,6,0.645149835206517,0.999995354919091
gene-Ulk4,NC_000075.7,-,28,0.645423608553134,0.999995354919091
gene-Tceal3,NC_000086.8,+,9,0.645787603184002,0.999995354919091
gene-Rab4a,NC_000074.7,+,9,0.645961937873139,0.999995354919091
gene-Casq1,NC_000067.7,-,4,0.646264244834263,0.999995354919091
gene-Hypk,NC_000068.8,+,4,0.646342374956488,0.999995354919091
gene-L3mbtl4,NC_000083.7,+,2,0.646362893568357,0.999995354919091
gene-Pak6,NC_000068.8,+,11,0.646672789540089,0.999995354919091
gene-Gm2824,NC_000081.7,-,5,0.647295443765742,0.999995354919091
gene-Slc26a2,NC_000084.7,-,2,0.64763299121431,0.999995354919091
gene-Ttc23,NC_000073.7,+,14,0.647651690860238,0.999995354919091
gene-Rnf217,NC_000076.7,-,6,0.647668585710912,0.999995354919091
gene-Gm42339,NC_000070.7,-,2,0.647740069498502,0.999995354919091
gene-Slc6a9,NC_000070.7,+,14,0.647821021074218,0.999995354919091
gene-Prelid1,NC_000079.7,+,5,0.647823628801991,0.999995354919091
gene-Axin2,NC_000077.7,+,11,0.647858608387867,0.999995354919091
gene-Pdpn,NC_000070.7,-,6,0.648084600046745,0.999995354919091
gene-Ptrhd1,NC_000078.7,+,2,0.648157287065976,0.999995354919091
gene-Zscan12,NC_000079.7,+,4,0.648214435761372,0.999995354919091
gene-Sema4g,NC_000085.7,+,21,0.648307265722127,0.999995354919091
gene-Abcc5,NC_000082.7,-,39,0.648406920525278,0.999995354919091
gene-Nr2f6,NC_000074.7,-,6,0.648660662747027,0.999995354919091
gene-Ehd4,NC_000068.8,-,2,0.64874817574393,0.999995354919091
gene-Acvr1c,NC_000068.8,-,2,0.648826642863489,0.999995354919091
gene-Mtmr12,NC_000081.7,+,18,0.648844673545899,0.999995354919091
gene-Cpped1,NC_000082.7,-,6,0.649060557959025,0.999995354919091
gene-Zbed5-ps,NC_000073.7,-,2,0.649170582214278,0.999995354919091
gene-Rad52,NC_000072.7,+,18,0.649352536547791,0.999995354919091
gene-Slc16a11,NC_000077.7,+,4,0.649548049309896,0.999995354919091
gene-Zfp941,NC_000073.7,-,3,0.649644882470186,0.999995354919091
gene-Zfp811,NC_000083.7,-,8,0.649650812317683,0.999995354919091
gene-Dpf3,NC_000078.7,-,12,0.649671692721677,0.999995354919091
gene-Dnajc2,NC_000071.7,-,18,0.649679028870621,0.999995354919091
gene-Rap1gds1,NC_000069.7,-,20,0.649714439753428,0.999995354919091
gene-Zfp568,NC_000073.7,+,5,0.649734682854124,0.999995354919091
gene-Morn4,NC_000085.7,-,6,0.649861477277711,0.999995354919091
gene-Rab1b,NC_000085.7,-,6,0.650079848293611,0.999995354919091
gene-Ngfr,NC_000077.7,-,6,0.650108388560002,0.999995354919091
gene-Gem,NC_000070.7,+,3,0.650277601588435,0.999995354919091
gene-Mxi1,NC_000085.7,+,8,0.65038921068059,0.999995354919091
gene-Rnf181,NC_000072.7,-,10,0.650576233749035,0.999995354919091
gene-Dis3,NC_000080.7,-,26,0.650587449094936,0.999995354919091
gene-Lin7a,NC_000076.7,+,7,0.65066310562379,0.999995354919091
gene-1600014C10Rik,NC_000073.7,+,3,0.65080746931046,0.999995354919091
gene-Arrdc4,NC_000073.7,-,8,0.650814947811109,0.999995354919091
gene-Timm50,NC_000073.7,-,12,0.650844305648938,0.999995354919091
gene-Vegfa,NC_000083.7,-,9,0.650872980167972,0.999995354919091
gene-Pcgf6,NC_000085.7,-,16,0.650895673213782,0.999995354919091
gene-4933407K13Rik,NC_000086.8,-,5,0.65118222251715,0.999995354919091
gene-Mfsd11,NC_000077.7,+,24,0.651729110091845,0.999995354919091
gene-Mtrr,NC_000079.7,-,14,0.651733352294245,0.999995354919091
gene-Cdpf1,NC_000081.7,-,5,0.65178424996984,0.999995354919091
gene-Pcsk1,NC_000079.7,+,2,0.652003051088849,0.999995354919091
gene-Zfp940,NC_000073.7,-,6,0.652040091953757,0.999995354919091
gene-Snph,NC_000068.8,-,10,0.652361692513574,0.999995354919091
gene-Lsm8,NC_000072.7,+,4,0.652388730195127,0.999995354919091
gene-Sri,NC_000071.7,+,11,0.652493058125031,0.999995354919091
gene-Golga4,NC_000075.7,+,33,0.652831012648404,0.999995354919091
gene-Spg7,NC_000074.7,+,18,0.652891946667573,0.999995354919091
gene-Sh3bgrl2,NC_000075.7,+,4,0.652975522291977,0.999995354919091
gene-2610035D17Rik,NC_000077.7,-,3,0.653134432943043,0.999995354919091
gene-Scg2,NC_000067.7,-,4,0.653391645847467,0.999995354919091
gene-Rpp14,NC_000080.7,-,6,0.653794416829302,0.999995354919091
gene-2410002F23Rik,NC_000073.7,+,12,0.653981427561505,0.999995354919091
gene-Crocc,NC_000070.7,-,41,0.65399504774788,0.999995354919091
gene-Bloc1s3,NC_000073.7,-,3,0.654085080187861,0.999995354919091
gene-Cdc45,NC_000082.7,-,21,0.654310423156148,0.999995354919091
gene-Hpca,NC_000070.7,-,9,0.654406347232118,0.999995354919091
gene-2310033P09Rik,NC_000077.7,+,7,0.654471428443306,0.999995354919091
gene-Cfdp1,NC_000074.7,-,7,0.654561864964962,0.999995354919091
gene-Pcdha5,NC_000084.7,+,4,0.654715250843278,0.999995354919091
gene-E2f1,NC_000068.8,-,8,0.654822131375098,0.999995354919091
gene-Got1,NC_000085.7,-,9,0.654942182205659,0.999995354919091
gene-Flywch2,NC_000083.7,-,4,0.655124314528394,0.999995354919091
gene-Emb,NC_000079.7,+,9,0.655432572005258,0.999995354919091
gene-Cdc25c,NC_000084.7,-,17,0.655476373507683,0.999995354919091
gene-A430108G06Rik,NC_000077.7,-,2,0.655478788749474,0.999995354919091
gene-Lamc2,NC_000067.7,-,2,0.65549816339047,0.999995354919091
gene-Nab2,NC_000076.7,-,7,0.655554961785015,0.999995354919091
gene-Slc37a4,NC_000075.7,+,12,0.655577435368355,0.999995354919091
gene-Slf1,NC_000079.7,-,25,0.655702063499524,0.999995354919091
gene-Ube2k,NC_000071.7,+,7,0.655812117395719,0.999995354919091
gene-Eps8,NC_000072.7,-,20,0.655897868278861,0.999995354919091
gene-Ankrd49,NC_000075.7,-,4,0.655931052893558,0.999995354919091
gene-Aldh2,NC_000071.7,-,14,0.655969483628298,0.999995354919091
gene-Sh2b2,NC_000071.7,-,12,0.655991814189906,0.999995354919091
gene-Irf3,NC_000073.7,+,11,0.65628900901784,0.999995354919091
gene-Mxd4,NC_000071.7,-,6,0.656331814828564,0.999995354919091
gene-Gm53411,NC_000074.7,+,2,0.656384720077067,0.999995354919091
gene-Oxsm,NC_000080.7,+,2,0.656581884933585,0.999995354919091
gene-Efl1,NC_000073.7,+,20,0.657187854590546,0.999995354919091
gene-Apobec1,NC_000072.7,-,2,0.657648834312845,0.999995354919091
gene-Slc35e4,NC_000077.7,-,2,0.657670728196675,0.999995354919091
gene-Spmip4,NC_000072.7,-,2,0.657719147695777,0.999995354919091
gene-Prcp,NC_000073.7,+,9,0.658055658829134,0.999995354919091
gene-Mllt1,NC_000083.7,-,12,0.658080189995956,0.999995354919091
gene-Ncapg2,NC_000078.7,+,32,0.658110189246325,0.999995354919091
gene-Tpcn1,NC_000071.7,-,32,0.658126267468414,0.999995354919091
gene-Prune1,NC_000069.7,-,13,0.65814187225281,0.999995354919091
gene-Slc45a1,NC_000070.7,-,11,0.658324011855909,0.999995354919091
gene-Entpd6,NC_000068.8,+,19,0.658325777137216,0.999995354919091
gene-Lrfn2,NC_000083.7,+,4,0.658440968155577,0.999995354919091
gene-Trim13,NC_000080.7,+,4,0.658471127521355,0.999995354919091
gene-Oaz2,NC_000075.7,+,6,0.658537412448893,0.999995354919091
gene-Peli3,NC_000085.7,-,9,0.658626912262359,0.999995354919091
gene-Rbm28,NC_000072.7,-,21,0.658695543321937,0.999995354919091
gene-Ube2r2,NC_000070.7,+,5,0.658716263248492,0.999995354919091
gene-Phactr4,NC_000070.7,-,14,0.658874459853081,0.999995354919091
gene-Def8,NC_000074.7,+,17,0.65899427245036,0.999995354919091
gene-Uqcc6,NC_000076.7,-,4,0.659073012021423,0.999995354919091
gene-Chrm1,NC_000085.7,+,3,0.659194637087453,0.999995354919091
gene-Wwox,NC_000074.7,+,10,0.659279360185065,0.999995354919091
gene-Ogdhl,NC_000080.7,+,25,0.659407601852454,0.999995354919091
gene-Ppp2r5c,NC_000078.7,+,21,0.659534273495521,0.999995354919091
gene-Ung,NC_000071.7,+,6,0.659862532712024,0.999995354919091
gene-Gmeb2,NC_000068.8,-,13,0.659964527599913,0.999995354919091
gene-Brms1l,NC_000078.7,+,12,0.660089336017473,0.999995354919091
gene-Kctd8,NC_000071.7,-,2,0.660264753021573,0.999995354919091
gene-Yju2,NC_000083.7,+,8,0.660391157598972,0.999995354919091
gene-Ube2e1,NC_000080.7,+,6,0.660571714027951,0.999995354919091
gene-Prdm16os,NC_000070.7,+,2,0.660650437627118,0.999995354919091
gene-Bex2,NC_000086.8,-,3,0.660735140972428,0.999995354919091
gene-Slc45a3,NC_000067.7,+,3,0.660809861500112,0.999995354919091
gene-Hmgcs2,NC_000069.7,+,10,0.660945863109897,0.999995354919091
gene-Lmo1,NC_000073.7,-,7,0.661014166851125,0.999995354919091
gene-Aldh7a1,NC_000084.7,-,22,0.661170178706966,0.999995354919091
gene-Dock1,NC_000073.7,+,51,0.661178077955948,0.999995354919091
gene-Zfp770,NC_000068.8,-,2,0.661391376922174,0.999995354919091
gene-Plat,NC_000074.7,+,14,0.661416017207323,0.999995354919091
gene-Tango2,NC_000082.7,-,14,0.6615443091166,0.999995354919091
gene-Gm53204,NC_000077.7,+,2,0.661756374076084,0.999995354919091
gene-Tpd52l1,NC_000076.7,-,8,0.661879344162365,0.999995354919091
gene-Ccdc102a,NC_000074.7,-,7,0.661941928487498,0.999995354919091
gene-2500004C02Rik,NC_000068.8,-,2,0.662068988932712,0.999995354919091
gene-Mettl2,NC_000077.7,+,11,0.662197441148119,0.999995354919091
gene-Bmp2,NC_000068.8,+,2,0.662198030498496,0.999995354919091
gene-Col7a1,NC_000075.7,+,3,0.662216739965521,0.999995354919091
gene-Tpgs1,NC_000076.7,+,2,0.662233674304207,0.999995354919091
gene-Tex264,NC_000075.7,-,10,0.663087485762704,0.999995354919091
gene-Trip6,NC_000071.7,-,9,0.663110682284504,0.999995354919091
gene-Tbc1d31,NC_000081.7,+,22,0.663181059924451,0.999995354919091
gene-Zfp433,NC_000076.7,+,2,0.663303368059078,0.999995354919091
gene-Zfp119a,NC_000083.7,-,4,0.663438566113997,0.999995354919091
gene-Lhx5,NC_000071.7,+,5,0.663455700695113,0.999995354919091
gene-Mlf2,NC_000072.7,+,10,0.663489486206435,0.999995354919091
gene-Nudt14,NC_000078.7,-,6,0.663565415594928,0.999995354919091
gene-Apbb1,NC_000073.7,-,24,0.663581195945514,0.999995354919091
gene-Nkapd1,NC_000075.7,-,9,0.663966254598631,0.999995354919091
gene-Ctps1,NC_000070.7,-,20,0.664140756246161,0.999995354919091
gene-Taf9,NC_000079.7,+,4,0.664255486306149,0.999995354919091
